GEOID10,DP0010001,NEIGHBORS
48113014308,4136,"48113014307,48113014302,48113014501,48113014203,48113014601"
48113014309,4385,"48113014114,48113014133,48113014103,48113014310,48113014115,48113014306"
48113014310,4472,"48113014103,48113014312,48113014302,48113014306,48113014309"
48113014403,3909,"48113980000,48113014115,48113014116,48113014408,48113014407,48439980000,48439106518,48113015303"
48113014405,3695,"48113014302,48113014115,48113014306,48113014408,48113014407,48113014406,48113015202,48113014501"
48113014406,4617,"48113014408,48113014407,48113014405,48113015202,48113015205,48113015305,48113015304"
48113014407,4881,"48113014115,48113014116,48113014306,48113014403,48113014408,48113014406,48113014405"
48113017811,4467,"48113017808,48113018104,48113017814,48113017813,48113017812"
48113018001,6183,"48113018130,48113018127,48113018002,48113012500,48113017900,48113012603,48113012604"
48113017812,2412,"48113018130,48113017808,48113018002,48113017814,48113017813,48113017811,48113017804,48113017807"
48113017807,5720,"48113018130,48113018002,48113017813,48113017812,48113017806,48113017900,48113017804"
48113017804,5976,"48113017703,48113017813,48113017812,48113017805,48113017806,48113017807"
48113017704,6033,"48113017702,48113017703,48113017805,48113017602,48113017500,48113017400"
48113017602,4120,"48113017704,48113017805,48113012100,48113017605,48113017606,48113017500"
48113017604,3172,"48113017606,48113017500,48113017202,48113017201"
48113003902,1860,"48113004000,48113003800,48113011500,48113003901"
48113003901,1724,"48113003902,48113003800,48113003700,48113002701,48113002702,48113011500"
48113003800,1956,"48113004000,48113003902,48113003700,48113003901"
48113003700,3048,"48113004000,48113003800,48113020300,48113003400,48113002702,48113003901"
48113003400,1146,"48113004000,48113003700,48113020300,48113008603,48113004100,48113008900,48113020400"
48113012301,4374,"48113012500,48113012302,48113017900,48113012209,48113012400,48113012210"
48113002702,1559,"48113003700,48113020300,48113002701,48113003901"
48113002701,3033,"48113020300,48113002702,48113008400,48113002500,48113011500,48113003901"
48113012210,4060,"48113012302,48113012301,48113012211,48113012204,48113012209,48113012400"
48155950100,1336,"48269950100,48197950100,48101950100,48023950300,48487950300,48275950100"
