state, model, nodes, k, L, U, LB, LB Time, UB, UB Time, UB LS, UB LS Time, UB cont, UB cont time, percent fixed, IP Time, Total Time, Num Callbacks, Callback Time, Num Cuts, Overty, Objval, Mipgap, Objbound, NodeCount, Found feasbile?
VA, cut, 1907, 11, 723729, 731002, 12836.67, 45.41, 13817.93, 95.99, 13814.08, 283.84, 13815.25, 11.80, 0.49, 3600.11, 4042.37, 1, 0.04, 0, 0.03, 13815.25, 7.08, 12836.85, 1, Y
VT, cut, 184, 1, 622613, 628869, 3390.86, 0.28, 3390.86, 0.01, 3390.86, 0.00, 3390.86, 0.01, 0.99, 0.00, 0.30, 1, 0.00, 0, 0.01, 3390.86, 0.00, 3390.86, 0, Y
WA, cut, 1458, 10, 669092, 675816, 12376.66, 27.16, 12604.21, 37.79, 12604.21, 9.55, 12609.09, 24.58, 0.61, 3600.06, 3701.52, 1, 0.02, 0, 0.02, 12609.09, 100.00, 0.00, 0, Y
WI, cut, 1409, 8, 707319, 714427, 16272.83, 25.05, 16373.86, 19.82, 16340.39, 8.86, 16340.81, 3.55, 0.84, 3600.10, 3658.38, 6, 0.07, 20, 0.02, 16340.81, 0.41, 16273.67, 1, Y
WV, cut, 484, 3, 614577, 620753, 10789.79, 2.55, 11801.80, 0.58, 11801.80, 0.10, 11834.84, 0.19, 0.58, 3600.03, 3603.72, 10, 0.02, 22, 0.02, 11834.84, 6.60, 11053.92, 448, Y
WY, cut, 132, 1, 560808, 566444, 27412.80, 0.22, 27412.80, 0.01, 27412.80, 0.00, 27412.80, 0.01, 0.99, 0.00, 0.24, 1, 0.00, 0, 0.02, 27412.80, 0.00, 27412.80, 0, Y
AK, mcf, 167, 1, 706680, 713782, 167255.05, 0.20, 167255.05, 0.01, 167255.05, 0.00, 167255.05, 0.01, 0.99, 35.76, 64.12, n/a, n/a, n/a, 0.02, 167255.05, 0.00, 167255.05, 0, Y
AL, mcf, 1181, 7, 679406, 686233, 13058.24, 16.86, 13551.28, 11.02, 13510.26, 6.31, 13510.26, 0.62, 0.68, 
AR, mcf, 686, 4, 725335, 732624, 15490.50, 5.52, 15565.41, 3.59, 15565.41, 0.25, 15569.97, 0.25, 0.97, 
AZ, mcf, 1526, 9, 706674, 713775, 29479.16, 30.84, 30224.79, 20.84, 30219.11, 61.06, 30220.39, 6.38, 0.33, 
CA, mcf, 8057, 53, 699391, 706419, 26238.24, 988.57, 27544.62, 5217.43, 27544.62, 16729.74, 10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00, 3605.32, 0.00, CO, mcf, 1249, 7, 714865, 722048, 19715.16, 20.55, 19920.94, 12.74, 19916.43, 3.67, 19918.36, 1.34, 0.53, 
CT, mcf, 833, 5, 711246, 718393, 1420.41, 8.55, 1422.45, 3.73, 1422.13, 0.85, 1422.13, 0.27, 0.99, 
DE, mcf, 218, 1, 893445, 902423, 2297.33, 0.42, 2297.33, 0.01, 2297.33, 0.00, 2297.33, 0.01, 1.00, 
FL, mcf, 4245, 27, 692864, 699826, 14766.11, 271.16, 15252.19, 1039.66, 15222.31, 6661.61, 15225.47, 129.24, 0.65, 
GA, mcf, 1969, 14, 688516, 695435, 15836.59, 51.30, 15961.65, 129.54, 15955.65, 112.79, 15955.65, 2.59, 0.79, 
HI, mcf, 351, 2, 676750, 683551, 13990.50, 1.63, 13993.43, 0.15, 13991.27, 0.04, 13991.95, 0.10, 1.00, IA, mcf, 825, 4, 757781, 765396, 18164.68, 8.55, 18202.13, 2.67, 18202.13, 0.37, 18206.43, 0.66, 0.97, 
ID, mcf, 298, 2, 779873, 787709, 53913.93, 1.08, 53930.05, 0.13, 53930.05, 0.04, 53916.36, 0.03, 1.00, 
IL, mcf, 3123, 18, 709249, 716376, 15815.07, 128.43, 16086.19, 570.81, 16067.49, 13720.41, 16091.05, 83.92, 0.55, 
IN, mcf, 1511, 9, 716821, 724024, 11061.11, 28.71, 11084.81, 23.05, 11084.81, 5.08, 11085.37, 4.43, 0.97, 
